"Archiv-ID"	"Interview"	"Transkript"	"Übersetzung"	"Erschliessung"	"Lektorat"	"Segmentierung"
"za393"	"Kokalj Kočevar Monika"	"Bizjan Tanja"	"Frank Gabi"	""	""	""
"za394"	"Kokalj Kočevar Monika"	"Jager Lovec Urška"	"Frank Gabi"	""	""	""
"za395"	"Kokalj  Kočevar Monika"	"Jutriša Aleksandra"	"Kavčič Silvija"	""	""	""
"za396"	"Kokalj Kočevar, Monika"	"Uršič, Irena"	"Frank, Gabi"	""	""	""
"za397"	"Kokalj Kočevar Monika"	"Uršič, Irena"	"Frank, Gabi"	""	""	""
"za398"	"Dagi Knellessen"	"Dagi Knellessen"	""	""	""	""
"za399"	"Knellessen, Dagi"	"Knellessen, Dagi"	""	""	""	""
"za400"	"Knellessen, Dagi"	"Knellessen, Dagi"	"Bruder, Franziska"	""	""	""
"za401"	"Dagi Knellessen"	"k.A."	"Franziska Bruder"	""	""	""
"za402"	"Dagi Knellessen"	"Dagi Knellessen"	""	""	""	""
"za403"	"Knellessen, Dagi"	"Bruder, Franziska"	"Bruder, Franziska"	""	""	""
"za404"	"Knellessen, Dagi"	"Bruder, Franziska"	"Bruder, Franziska"	""	""	""
"za405"	"Mercedes Vilanova"	"Lluis Ubeda"	""	""	""	""
"za406"	"Mercedes Vilanova"	"Lluís Úbeda"	""	""	""	""
"za407"	"Mercedes Vilanova"	"Lluis Ubeda"	""	""	""	""
"za408"	"Mercedes Vilanova"	"Lluís Úbeda"	""	""	""	""
"za409"	"Knellessen, Dagi"	"Alexander Ruoff"	"Bureau, Marianne"	""	""	""
"za410"	"Mercedes Vilanova"	"Lluis Ubeda"	""	""	""	""
"za411"	"Mercedes Vilanova"	"Lluis Úbeda"	""	""	""	""
"za412"	"Mercedes Vilanova"	"Lluis Úbeda"	"Oliver Strunk"	""	""	""
"za413"	"Mercedes Vilanova"	"Lluis Ubeda"	"Oliver Strunk"	""	""	""
"za414"	"Mercedes Vilanova"	"Lluis Ubeda"	""	""	""	""
"za415"	"Vilanova, Mercedes"	"Úbeda, LLuis"	""	""	""	""
"za416"	"Lerer Cohen , Rose"	"Cheryl Balshayi"	""	""	""	""
"za417"	"Robins, Gwynne"	"Beinart, Bernice"	""	""	""	""
"za418"	"Robins, Gwynne"	"Beinart, Bernice"	""	""	""	""
"za419"	"Mercedes Vilanova"	"Lluis Úbeda"	"Oliver Strunk"	""	""	""
"za420"	"Robins, Gwynne"	"Beinart, Bernice"	""	""	""	""
"za421"	"Lerer Cohen, Rose"	"Cheryl Balshayi"	""	""	""	""
"za422"	"Lerer Cohen, Rose"	"Balshayi, Cheryl"	""	""	""	""
"za423"	"Lerer Cohen, Rose"	"Cheryl Balshayi"	"k.A."	""	""	""
"za424"	"Lerer Cohen, Rose"	"Cheryl Balshayi"	"k.A."	""	""	""
"za425"	"Jakschová,  Viola"	"Voba"	"Sabine Podrabská"	""	""	""
"za426"	"Hamplová Tereza"	"Jan Paleček"	""	""	""	""
"za427"	"Opluštil, Jiří"	"Voba"	""	""	""	""
"za428"	"Hamplová Tereza"	"Jan Paleček"	""	""	""	""
"za429"	"Jirků, Gabriela"	"Voba"	""	""	""	""
"za430"	"Jarská,  Šárka"	"Paleček, Jan"	"k.A."	""	""	""
"za431"	"Jarská Šárka"	"k.A."	""	""	""	""
"za432"	"Opluštil, Jiří"	"Voba"	""	""	""	""
"za433"	"Horváthová, Jana, Schuster Michal"	"Voba"	"k.A."	""	""	""
"za434"	"Danielová, Helena"	"Paleček, Jan"	""	""	""	""
"za435"	"Hamplová Tereza"	"Voba"	""	""	""	""
"za436"	"Jiří Opluštil"	"Voba"	""	""	""	""
"za437"	"Hamplová Tereza"	"Jan Paleček"	""	""	""	""
"za438"	"Hamplová Tereza"	"Michaela Váňová, VOBA"	""	""	""	""
"za439"	"Opluštil Jiří"	"Voba"	""	""	""	""
"za440"	"Jirků Gabriela"	"Voba"	""	""	""	""
"za441"	"Jarská,  Šárka"	"k.A."	"k.A."	""	""	""
"za442"	"Jarská, Šárka"	"k.A."	""	""	""	""
"za443"	"Schuster, Michal"	"k.A."	""	""	""	""
"za444"	"Jarská,  Šárka"	"k.A."	""	""	""	""
"za445"	"Opluštil, Jiří"	"Voba"	""	""	""	""
"za446"	"Hamplová, Tereza"	"Voba"	""	""	""	""
"za447"	"Opluštil, Jiří"	"Voba"	""	""	""	""
"za448"	"Schuster, Michal"	"Paleček, Jan"	"k.A."	""	""	""
"za449"	"Opluštil Jiří"	"Voba"	""	""	""	""
"za450"	"Jarská Šárka"	"k.A."	""	""	""	""
"za451"	"Jarská,  Šárka"	"Voba"	""	""	""	""
"za452"	"Jarská,  Šárka"	"Voba"	"Sabine Podrabska "	""	""	""
"za453"	"Jarská,  Šárka"	"k.A."	"k.A."	""	""	""
"za454"	"Jirků, Gabriela"	"Voba"	""	""	""	""
"za455"	"Martin Hořák"	"Voba"	""	""	""	""
"za456"	"Tereza Hamplová"	"k.A."	""	""	""	""
"za457"	"Jirků, Gabriela"	"Voba"	""	""	""	""
"za458"	"Hamplová Tereza"	"Voba"	"k.A."	""	""	""
"za459"	"Havlíková, Jana"	"Voba"	"Mráčková, Miriam"	""	""	""
"za460"	"Hamplová Tereza"	"Voba"	""	""	""	""
"za461"	"Kramářová, Jana"	"Voba"	""	""	""	""
"za462"	"Jarská,  Šárka"	"k.A."	""	""	""	""
"za463"	"Opluštil, Jiří"	"Voba"	""	""	""	""
"za464"	"Martin Hořák"	"Voba"	"Martin Hudec "	""	""	""
"za465"	"Grinchenko Gelinada,"	"Grinchenko Gelinada,"	"Majewskaja Lina"	""	""	""
"za466"	"Grinchenko Gelinada"	"Grinchenko Gelinada"	""	""	""	""
"za467"	"Pastuschenko, Tetiana"	"Pastuschenko, Tetiana"	"Majewskaja Lina"	"Grete Rebstock, Tatiana Makarova"	""	""
"za468"	"Pastuschenko, Tetiana"	"Pastuschenko, Tetiana"	"Majewskaja Lina"	""	""	""
"za469"	"Grinchenko Gelinada,, Rebrowa Irina"	"Grinchenko Gelinada,, Rebrowa Irina"	""	""	""	""
"za470"	"Grinchenko Gelinada, Rebrowa Irina"	"Grinchenko Gelinada, Rebrowa Irina"	""	""	""	""
"za471"	"Grinchenko Gelinada, Rebrowa Irina"	"Grinchenko Gelinada, Rebrowa Irina"	"Majewskaja Lina"	""	""	""
"za472"	"Tetiana Pastushenko"	"Tetiana Pastushenko"	"Majewskaja Lina"	""	""	""
"za473"	"Grinchenko Gelinada, Rebrowa Irina"	"Grinchenko Gelinada, Rebrowa Irina"	"Majewskaja Lina"	""	""	""
"za474"	"Pastuschenko, Tetiana"	"Pastuschenko, Tetiana"	"Majewskaja Lina"	"Daniela Raßloff"	""	""
"za475"	"Grinchenko Gelinada, Rebrowa Irina"	"Grinchenko Gelinada, Rebrowa Irina"	""	""	""	""
"za476"	"Tetiana Pastushenko"	"Tetiana Pastushenko"	""	""	""	""
"za477"	"Pastuschenko, Tatiana"	"Pastuschenko, Tatiana"	""	""	""	""
"za478"	"Pastushenko, Tetiana"	"Pastushenko, Tetiana"	""	""	""	""
"za479"	"Pastushenko, Tetiana"	"Pastushenko, Tetiana"	""	""	""	""
"za480"	"Grinchenko Gelinada"	"Grinchenko Gelinada"	""	""	""	""
"za481"	"Pastushenko, Tetiana"	"Pastushenko, Tetiana"	""	""	""	""
"za482"	"Pastushenko Tetiana "	"Pastushenko Tetiana"	"Majewskaja Lina"	""	""	""
"za483"	"Grinchenko Gelinada, Rebrowa Irina"	"Grinchenko Gelinada, Rebrowa Irina"	""	""	""	""
"za484"	"Pastushenko Tetiana"	"Pastushenko Tetiana"	""	""	""	""
"za485"	"Pastuschenko, Tetiana"	"Pastuschenko, Tetiana"	""	""	""	""
"za486"	"Tetiana Pastushenko"	"Tetiana Pastushenko"	"Majewskaja Lina"	""	""	""
"za487"	"Tatiana Pastushenko"	"Tatiana Pastusenko"	""	""	""	""
"za488"	"Tetiana Pastushenko"	"Tetiana Pastushenko"	""	""	""	""
"za489"	"Grinchenko Gelinada,"	"Grinchenko Gelinada,"	""	""	""	""
"za490"	"Pastuschenko, Tetiana"	"Pastuschenko, Tetiana"	""	""	""	""
"za491"	"Grinchenko Gelinada"	"Grinchenko Gelinada"	""	""	""	""
"za492"	"Pastushenko Tetiana"	"Pastushenko Tetiana"	""	""	""	""
"za493"	"Pastuschenko Tetiana"	"Pastuschenko Tetiana"	""	""	""	""
"za494"	"Tetiana Pastushenko"	"Tetiana Pastuschenko"	""	""	""	""
"za495"	"Grinchenko Gelinada, Rebrowa Irina"	"Grinchenko Gelinada, Rebrowa Irina"	""	""	""	""
"za496"	"Grinchenko Gelinada, Rebrowa Irina"	"Grinchenko Gelinada, Rebrowa Irina"	"Majewskaja Lina"	""	""	""
"za497"	"Musiezdov Alexei, Grinchenko Gelinada"	"Musiezdov Alexei, Grinchenko Gelinada"	""	""	""	""
"za498"	"Rebrowa Iryna, Grinchenko Gelinada"	"Rebrowa Iryna, Grinchenko Gelinada"	""	""	""	""
"za499"	"Grinchenko Gelinada, Rebrowa Irina"	"Grinchenko Gelinada, Rebrowa Irina"	""	""	""	""
"za500"	"Musiezdov Alexei, Grinchenko Gelinada"	"Musiezdov Alexei, Grinchenko Gelinada"	""	""	""	""
"za501"	"Grinchenko Gelinada, Rebrowa Irina"	"Grinchenko Gelinada, Rebrowa Irina"	"Majewskaja Lina"	""	""	""
"za502"	"Tetiana Pastushenko"	"Tetiana Pastushenko"	""	""	""	""
"za503"	"Grinchenko Gelinada, Musiesdow Oleksij "	"Grinchenko Gelinada, Musiesdow Oleksij"	""	""	""	""
"za504"	"Tetiana Pastushenko"	"Tetiana Pastushenko"	""	""	""	""
"za505"	"Grinchenko Gelinada, Rebrowa Irina"	"Grinchenko Gelinada, Rebrowa Irina"	""	""	""	""
"za506"	"Lapan T.D."	"Labyk L."	""	""	""	""
"za507"	"Lapan Tetjana"	"Horbatso Ivan"	"Semotjuk Orest"	""	""	""
"za508"	"Lapan T."	"Oksana Shevchuk"	""	""	""	""
"za509"	"Lapan T.D."	"k.A."	""	""	""	""
"za510"	"Lapan T."	"k.A."	""	""	""	""
"za511"	"Lapan T."	"Lapan R."	"Orest Ssemotjuk"	""	""	""
"za512"	"Lapan T."	"k.A."	""	""	""	""
"za513"	"Lapan T."	"Labyk L."	""	""	""	""
"za514"	"Lapan T."	"Lapan R."	"k.A."	""	""	""
"za515"	"Lapan Tetjana"	"Horbatso Ivan"	"Semotjuk Orest"	""	""	""
"za516"	"Lapan"	"Lapan"	""	""	""	""
"za517"	"Lapan T."	"Iwan Horbazjo"	"Orest Ssamotjuk"	""	""	""
"za518"	"Lapan T."	"Lapan T."	""	""	""	""
"za519"	"Lapan T."	"Lapan T."	"Ljubomyr"	""	""	""
"za520"	"Hurna Adriana Mychajliwna"	"Lapan Ruslan"	"Semotjuk Orest"	""	""	""
"za521"	"Lapan T.D."	"Maiya"	""	""	""	""
"za522"	"Lapan T."	"Rischko A."	""	""	""	""
"za523"	"Lapan T."	"Labyk L."	""	""	""	""
"za524"	"Lapan T."	"Labyk L."	""	""	""	""
"za525"	"Lapan T."	"Russlan Lapan"	"Oksana Sharyak"	""	""	""
"za526"	"Lapan T."	"Horbazyo I."	"k.A."	""	""	""
"za527"	"Halyna Bodnar"	"k.A."	""	""	""	""
"za528"	"Lapan T.D."	"Lapan R.J."	"Vasyl Lozynskiy"	""	""	""
"za529"	"Lapan T."	"k.A."	""	""	""	""
"za530"	"Horbazjo Iwan"	"Horbazjo Iwan"	""	""	""	""
"za531"	"Lapan T.D."	"Lapan T.D."	"Semotjuk Orest"	""	""	""
"za532"	"Lapan T."	"Lapan T."	""	""	""	""
"za533"	"Lapan T."	"Horbatsyo I."	""	""	""	""
"za534"	"Lapan T."	"k.A."	""	""	""	""
"za535"	"Lapan T.D."	"Lapan T.D."	"Semotjuk Orest"	""	""	""
"za536"	"Lapan T.D."	"k.A."	""	""	""	""
"za537"	""	"k.A."	""	""	""	""
"za538"	"Lapan T.D."	"Bodnar H."	"Semotyuk Orest"	""	""	""
"za539"	"Lapan T."	"Lapan R."	"k.A."	""	""	""
"za540"	"Lapan T."	"Kokovin O."	""	""	""	""
"za541"	"Lapan T."	"Lapan R."	""	""	""	""
"za542"	"Lapan T."	"Horbatso Iwan"	"Semotjuk Orest"	""	""	""
"za543"	"Lapan T."	"Ljubow Labyk"	"Orest Semotjuk"	""	""	""
"za544"	"Lapan T."	"Rishko A."	"k.A."	""	""	""
"za545"	"Lapan T.D."	"Horbatso Iwan"	"Semotjuk Orest"	""	""	""
"za546"	"Lapan T.D."	"Bodnar Halyna"	"Semotyuk Orest"	""	""	""
"za547"	"Pulay, Gergő"	"Nagy, Krisztina"	""	""	""	""
"za548"	"Kovács, Éva"	"Nagy, Krisztina"	""	""	""	""
"za549"	"Kovács, Éva"	"Nagy, Krisztina"	""	""	""	""
"za550"	"Pulay, Gergő"	"Hegedűs, Attila"	"Nagy, Krisztina, Dunai, Andrea"	""	""	""
"za551"	"Pulay, Gergő"	"Nagy, Krisztina"	"Dunai, Andrea"	""	""	""
"za552"	"Pulay, Gergő"	"Nagy, Krisztina"	"k.A."	""	""	""
"za553"	"Pulay, Gergő"	"Nagy, Krisztina"	""	""	""	""
"za554"	"Kovács, Éva"	"Nagy, Krisztina"	""	""	""	""
"za555"	"Pulay, Gergő"	"Nagy, Krisztina"	"Dunai, Andrea"	""	""	""
"za556"	"Pulay, Gergő"	"Hegedűs, Attila"	"Nagy, Krisztina, Dunai, Andrea"	""	""	""
"za557"	"Kovács, Éva"	"Nagy, Krisztina"	""	""	""	""
"za558"	"Kovács, Éva"	"Nagy, Krisztina"	""	""	""	""
"za559"	"Kovács, Éva"	"Nagy, Krisztina"	""	""	""	""
"za560"	"Kovács, Éva"	"Nagy, Krisztina"	"Dunai, Andrea"	""	""	""
"za561"	"Pulay, Gergő"	"Nagy, Krisztina"	""	""	""	""
"za562"	"Ghitis, Sara"	"Eisenberg, Mim"	"Pozzi-Thanner, Elisabeth"	""	""	""
"za563"	"Ghitis, Sara"	"Eisenberg, Mim"	"Pozzi-Thanner, Elisabeth"	""	""	""
"za564"	"Ghitis, Sara"	"Mim Eisenberg"	"Pozzi-Thanner, Elisabeth"	""	""	""
"za565"	"Ghitis, Sara"	"Eisenberg, Mim"	"Pozzi-Thanner, Elisabeth"	""	""	""
"za566"	"Ghitis, Sara"	"Eisenberg, Mim"	"Pozzi-Thanner, Elisabeth"	""	""	""
"za567"	"Ghitis, Sara"	"Eisenberg, Mim"	"Pozzi-Thanner, Elisabeth"	""	""	""
"za568"	"Ghitis, Sara"	"Eisenberg, Mim"	"Pozzi-Thanner, Elisabeth"	""	""	""
"za569"	"Ghitis, Sara"	"Eisenberg, Mim"	"Pozzi-Thanner, Elisabeth"	""	""	""
"za570"	"Laub, Dori"	"Taylor, Michelle und Bodenstab, Johanna"	"Huhnke, Brigitta"	""	""	""
"za571"	"Dori Laub"	"Michelle Taylor und Johanna Bodenstab"	"Martina Kolb"	""	""	""
"za572"	"Laub, Dori"	"Michelle Taylor / Heddy Ben-Atar / Johanna Bodenstab"	"Martina Kolb"	""	""	""
"za573"	"Laub, Dori"	"Resor, Nina"	"Bodenstab, Johanna"	""	""	""
"za574"	"Laub, Dori"	"Taylor, Michelle"	"Bodenstab, Johanna"	""	""	""
"za575"	"Laub, Dori"	"Taylor, Michelle und Resor, Nina"	"Huhnke, Brigitta"	""	""	""
"za576"	"Laub, Dori"	"Taylor, Michelle, Resor, Nina, Bodenstab, Johanna"	"k.A."	""	""	""
"za577"	"Laub, Dori"	"Taylor, Michelle, Resor, Nina, Bodenstab, Johanna"	"Huhnke, Brigitta"	""	""	""
"za578"	"Laub, Dori"	"Taylor, Michelle, Resor, Nina, Bodenstab, Johanna"	"k.A."	""	""	""
"za579"	"Dori Laub"	"Nina Rezor, Michelle Taylor, Johanna Bodenstab "	"Brigitta Huhnke"	""	""	""
"za580"	"Laub, Dori"	"Taylor, Michelle"	"Bodenstab, Johanna"	""	""	""
"za581"	"Laub, Dori"	"Taylor, Michelle, Resor, Nina, Bodenstab, Johanna"	"k.A."	""	""	""
"za582"	"Laub, Dori"	"Taylor, Michelle, Esteves-Wolff, Cristina, Bodenstab, Johanna"	"Huhnke, Brigitta"	""	""	""
"za583"	"Dori Laub"	"Edie Wolkowitz"	"Johanna Bodenstab"	""	""	""
"za584"	"Laub, Dori"	"Wolkowitz, Edie"	"Bodenstab, Johanna"	""	""	""
"za585"	"Laub, Dori"	"Taylor, Michelle, Ben-Atar, Heddy"	"Huhnke, Brigitta"	""	""	""
"za586"	"Laub, Dori"	"Taylor, Michelle"	"k.A."	""	""	""
"za587"	"Laub, Dori"	"Taylor, Michelle"	"k.A."	""	""	""
"za588"	"Laub, Dori"	"Wolkowitz, Edie"	"Bodenstab, Johanna"	""	""	""
"za589"	"Dori Laub"	"Michelle Taylor"	"Johanna Bodenstab"	""	""	""
"za590"	"Ghitis, Sara"	"Eisenberg, Mim"	"Pozzi-Thanner, Elisabeth"	""	""	""
