	"Archive-ID"	"Media-ID"	"Duration"					
195	423	"ZA423_02_02"	"NULL"	"ZA423_02_02_tc_tab.ods"	15.07.09 15:03	30.07.09 09:49	"segmented"	"NULL"
196	580	"ZA580_03_01"	"NULL"	"ZA580_03_01_tc_tab.ods"	15.07.09 15:04	22.09.09 15:50	"segmented"	"NULL"
197	580	"ZA580_03_02"	"01:01:54.10"	"ZA580_03_02_tc_tab.ods"	15.07.09 15:04	22.09.09 15:50	"segmented"	"NULL"
198	580	"ZA580_03_03"	"00:48:29.10"	"ZA580_03_03_tc_tab.ods"	15.07.09 15:05	30.07.09 16:20	"segmented"	"NULL"
199	11	"ZA011_06_01"	"00:33:23.22"	"ZA011_06_01_tc_tab.ods"	21.07.09 16:48	13.08.09 09:57	"segmented"	"NULL"
200	11	"ZA011_06_02"	"NULL"	"ZA011_06_02_tc_tab.ods"	21.07.09 16:48	13.08.09 13:11	"segmented"	"NULL"
201	11	"ZA011_06_03"	"00:34:34.01"	"ZA011_06_03_tc_tab.ods"	21.07.09 16:48	13.08.09 13:51	"segmented"	"NULL"
202	11	"ZA011_06_04"	"00:34:41.09"	"ZA011_06_04_tc_tab.ods"	21.07.09 16:48	13.08.09 14:03	"segmented"	"NULL"
203	11	"ZA011_06_05"	"00:32:00.21"	"ZA011_06_05_tc_tab.ods"	21.07.09 16:48	17.09.09 11:58	"segmented"	"NULL"
204	11	"ZA011_06_06"	"00:24:59.01"	"ZA011_06_06_tc_tab.ods"	21.07.09 16:48	22.09.09 15:50	"segmented"	"NULL"
205	21	"ZA021_05_01"	"00:33:18.14"	"ZA021_05_01_tc_tab.ods"	21.07.09 16:48	22.09.09 15:50	"segmented"	"NULL"
206	21	"ZA021_05_02"	"00:34:06.15"	"ZA021_05_02_tc_tab.ods"	21.07.09 16:49	17.09.09 11:58	"segmented"	"NULL"
207	21	"ZA021_05_03"	"00:34:56.22"	"ZA021_05_03_tc_tab.ods"	21.07.09 16:49	22.09.09 15:50	"segmented"	"NULL"
208	21	"ZA021_05_04"	"00:30:51.02"	"ZA021_05_04_tc_tab.ods"	21.07.09 16:49	12.08.09 09:41	"segmented"	"NULL"
209	21	"ZA021_05_05"	"00:30:34.22"	"ZA021_05_05_tc_tab.ods"	21.07.09 16:49	14.08.09 08:14	"segmented"	"NULL"
210	212	"ZA212_07_01"	"00:34:38.09"	"ZA212_07_01_tc_tab.ods"	21.07.09 16:56	22.09.09 15:50	"segmented"	"NULL"
211	212	"ZA212_07_02"	"00:34:56.10"	"ZA212_07_02_tc_tab.ods"	21.07.09 16:56	22.09.09 15:50	"segmented"	"NULL"
212	212	"ZA212_07_03"	"00:32:29.10"	"ZA212_07_03_tc_tab.ods"	21.07.09 16:56	22.09.09 15:50	"segmented"	"NULL"
213	212	"ZA212_07_04"	"00:35:38.19"	"ZA212_07_04_tc_tab.ods"	21.07.09 16:56	22.09.09 15:50	"segmented"	"NULL"
214	212	"ZA212_07_05"	"00:34:58.17"	"ZA212_07_05_tc_tab.ods"	21.07.09 16:56	22.09.09 15:50	"segmented"	"NULL"
215	212	"ZA212_07_06"	"00:34:43.23"	"ZA212_07_06_tc_tab.ods"	21.07.09 16:56	22.09.09 15:50	"segmented"	"NULL"
216	212	"ZA212_07_07"	"00:30:05.16"	"ZA212_07_07_tc_tab.ods"	21.07.09 16:57	22.09.09 15:50	"segmented"	"NULL"
217	220	"ZA220_06_01"	"NULL"	"ZA220_06_01_tc_tab.ods"	21.07.09 16:57	22.09.09 15:50	"segmented"	"NULL"
