ID;First Name;Initial Last Name;Last Name;Additional Name;Gender;Date of Birth Details;Year of Birth;Group;Place of Birth;Country of Birth;Short Biography;Collection;Subcollection;Signature/ID;Medium;Language;Date of Interview;Year of Interview;Place of Interview;Country of Interview;Keywords;Length (hh:mm);Accessibility;Interviewer;Transcription;Translation;Indexing/Metadata;Remarks;Link to Videostill;Link to interview;Camp;Subcamp;Relevance;Usage in memorial museum;Comment;
DC;creator;creator;creator;creator;0;Jan 0, 1900;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CMDI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comment;;;;nur USC, mühsam, weglassen?;;"auch ""ca."" etc.";;;;Country of birth;;;;;;;;;Country?;;Yale: LOC;;;;;;;;;;;;;;;
